,name,type,value,date
586,瑙魯,,0.0,1962
587,新西兰,,6077496268.0,1962
588,阿曼,,0.0,1962
589,巴基斯坦,,4233095590.0,1962
590,巴拿马,,652120900.0,1962
591,秘鲁,,3286773188.0,1962
592,菲律宾,,4399827768.0,1962
593,帕劳,,0.0,1962
594,巴布亚新几内亚,,261184037.4,1962
595,波兰,,0.0,1962
596,波多黎各,,2094400000.0,1962
597,朝鲜民主主义人民共和国,,0.0,1962
598,葡萄牙,,3668222358.0,1962
599,巴拉圭,,0.0,1962
600,约旦河西岸和加沙,,0.0,1962
601,法属波利尼西亚,,0.0,1962
602,卡塔尔,,0.0,1962
603,罗马尼亚,,0.0,1962
604,俄罗斯联邦,,0.0,1962
605,卢旺达,,125000008.0,1962
606,南亚,,53087876774.0,1962
607,沙特阿拉伯,,0.0,1962
608,苏丹,,1541666667.0,1962
609,塞内加尔,,1085475573.0,1962
610,新加坡,,825885273.7,1962
611,所罗门群岛,,0.0,1962
612,塞拉利昂,,342721579.8,1962
613,萨尔瓦多,,0.0,1962
614,圣马力诺,,0.0,1962
615,索马里,,0.0,1962
616,塞尔维亚,,0.0,1962
617,南苏丹,,0.0,1962
618,圣多美和普林西比,,0.0,1962
619,苏里南,,116150000.0,1962
620,斯洛伐克共和国,,0.0,1962
621,斯洛文尼亚,,0.0,1962
622,瑞典,,17511477311.0,1962
623,斯威士兰,,45927061.46,1962
624,圣马丁(荷属),,0.0,1962
625,塞舌尔,,12642026.57,1962
626,阿拉伯叙利亚共和国,,1110565864.0,1962
627,特克斯科斯群岛,,0.0,1962
628,乍得,,357635713.9,1962
629,多哥,,132237441.6,1962
630,泰国,,3308912797.0,1962
631,塔吉克斯坦,,0.0,1962
632,土库曼斯坦,,0.0,1962
633,东帝汶,,0.0,1962
634,汤加,,0.0,1962
635,特立尼达和多巴哥,,619319197.3,1962
636,突尼斯,,0.0,1962
637,土耳其,,8922222222.0,1962
638,图瓦卢,,0.0,1962
639,坦桑尼亚,,0.0,1962
640,乌干达,,449012578.6,1962
641,乌克兰,,0.0,1962
642,乌拉圭,,1710004407.0,1962
643,美国,,605000000000.0,1962
644,乌兹别克斯坦,,0.0,1962
645,圣文森特和格林纳丁斯,,14524878.96,1962
646,委内瑞拉玻利瓦尔共和国,,8946969697.0,1962
